dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,weighted_score,vectors
blogcatalog,0.300000,0.100000,0.133354,0.200737,0.000000,0.647103,0.621790,0.334647,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p100.txt
blogcatalog,0.300000,0.300000,0.142487,0.207913,0.000000,0.617894,0.609536,0.330907,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p300.txt
blogcatalog,0.300000,0.050000,0.146509,0.192009,0.000000,0.643255,0.622825,0.327383,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p050.txt
blogcatalog,0.300000,0.400000,0.141093,0.200349,0.000000,0.616728,0.621429,0.325263,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p400.txt
blogcatalog,0.050000,0.150000,0.152560,0.188324,0.000000,0.641404,0.607700,0.324248,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p150.txt
blogcatalog,0.300000,0.250000,0.143515,0.192591,0.000000,0.631366,0.614292,0.324223,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p250.txt
blogcatalog,0.200000,0.300000,0.134018,0.190458,0.000000,0.633580,0.627821,0.323395,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p300.txt
blogcatalog,0.200000,0.100000,0.143258,0.181924,0.000000,0.652226,0.624928,0.323015,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p100.txt
blogcatalog,0.150000,0.200000,0.155098,0.197828,0.000000,0.610859,0.596275,0.321737,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p200.txt
blogcatalog,0.300000,0.200000,0.141482,0.192203,0.000000,0.621408,0.608258,0.320964,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p200.txt
blogcatalog,0.100000,0.050000,0.149038,0.174166,0.000000,0.660957,0.644231,0.320203,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p050.txt
blogcatalog,0.200000,0.400000,0.183292,0.187936,0.000000,0.625578,0.607486,0.319229,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p400.txt
blogcatalog,0.050000,0.050000,0.160118,0.188712,0.000000,0.622853,0.612551,0.318954,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p050.txt
blogcatalog,0.300000,0.000000,0.135188,0.188518,0.000000,0.620084,0.604238,0.317988,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p000.txt
blogcatalog,0.250000,0.200000,0.144966,0.195500,0.000000,0.603726,0.603548,0.317968,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p200.txt
blogcatalog,0.150000,0.250000,0.136545,0.197828,0.000000,0.595668,0.597584,0.317180,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p250.txt
blogcatalog,0.200000,0.000000,0.141743,0.185609,0.000000,0.621529,0.609440,0.316385,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p000.txt
blogcatalog,0.200000,0.250000,0.141975,0.182506,0.000000,0.628326,0.612631,0.316252,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p250.txt
blogcatalog,0.250000,0.250000,0.181978,0.190458,0.000000,0.608583,0.604923,0.315895,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p250.txt
blogcatalog,0.250000,0.350000,0.144524,0.185803,0.000000,0.617577,0.609662,0.315335,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p350.txt
blogcatalog,0.250000,0.300000,0.141527,0.186191,0.000000,0.616562,0.621230,0.315302,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p300.txt
blogcatalog,0.050000,0.250000,0.160499,0.181924,0.000000,0.626278,0.623784,0.315230,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p250.txt
blogcatalog,0.250000,0.050000,0.141002,0.181536,0.000000,0.624664,0.629059,0.314474,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p050.txt
blogcatalog,0.200000,0.350000,0.134087,0.175718,0.000000,0.637905,0.612860,0.314374,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p350.txt
blogcatalog,0.150000,0.400000,0.144660,0.184445,0.000000,0.616864,0.608239,0.314171,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p400.txt
blogcatalog,0.000000,0.150000,0.155438,0.172808,0.000000,0.640225,0.621752,0.313033,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p150.txt
blogcatalog,0.100000,0.000000,0.162545,0.169317,0.000000,0.647820,0.627939,0.312868,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p000.txt
blogcatalog,0.250000,0.150000,0.141414,0.183088,0.000000,0.614445,0.598921,0.312495,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p150.txt
blogcatalog,0.200000,0.050000,0.135071,0.190652,0.000000,0.595711,0.601749,0.312170,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p050.txt
blogcatalog,0.200000,0.200000,0.144537,0.173778,0.000000,0.634770,0.617887,0.312076,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p200.txt
blogcatalog,0.300000,0.350000,0.142034,0.181730,0.000000,0.616018,0.612072,0.312016,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p350.txt
blogcatalog,0.250000,0.400000,0.162994,0.180566,0.000000,0.616348,0.604787,0.311301,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p400.txt
blogcatalog,0.150000,0.300000,0.134734,0.186967,0.000000,0.600772,0.600109,0.311109,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p300.txt
blogcatalog,0.250000,0.100000,0.142862,0.180954,0.000000,0.613397,0.597800,0.310687,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p100.txt
blogcatalog,0.100000,0.200000,0.144283,0.173778,0.000000,0.628302,0.617980,0.310135,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p200.txt
blogcatalog,0.150000,0.050000,0.155609,0.178627,0.000000,0.616710,0.606136,0.310052,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p050.txt
blogcatalog,0.050000,0.000000,0.159782,0.176687,0.000000,0.612591,0.608697,0.307458,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p000.txt
blogcatalog,0.200000,0.150000,0.139648,0.184445,0.000000,0.593624,0.598702,0.307199,runs_real/blogcatalog_sweep_dense/vec_l0p200_b0p150.txt
blogcatalog,0.300000,0.150000,0.140583,0.177075,0.000000,0.605975,0.609569,0.305745,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p150.txt
blogcatalog,0.250000,0.000000,0.136301,0.162723,0.000000,0.637090,0.606480,0.305033,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p000.txt
blogcatalog,0.100000,0.400000,0.151170,0.164663,0.000000,0.631767,0.611479,0.304794,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p400.txt
blogcatalog,0.050000,0.200000,0.161897,0.164469,0.000000,0.631150,0.613909,0.304473,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p200.txt
blogcatalog,0.050000,0.300000,0.156204,0.167960,0.000000,0.622613,0.624964,0.304356,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p300.txt
blogcatalog,0.000000,0.050000,0.147444,0.167572,0.000000,0.622555,0.604440,0.304067,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p050.txt
blogcatalog,0.000000,0.350000,0.155360,0.173584,0.000000,0.606210,0.608638,0.303372,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p350.txt
blogcatalog,0.100000,0.300000,0.170614,0.164856,0.000000,0.626041,0.612887,0.303211,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p300.txt
blogcatalog,0.000000,0.000000,0.150802,0.157486,0.000000,0.640299,0.599262,0.302330,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p000.txt
blogcatalog,0.000000,0.100000,0.162539,0.161753,0.000000,0.628280,0.615884,0.301711,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p100.txt
blogcatalog,0.000000,0.300000,0.160171,0.173390,0.000000,0.597126,0.592416,0.300511,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p300.txt
blogcatalog,0.150000,0.000000,0.157739,0.185221,0.000000,0.568375,0.580106,0.300167,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p000.txt
blogcatalog,0.000000,0.200000,0.163096,0.173002,0.000000,0.596719,0.586284,0.300117,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p200.txt
blogcatalog,0.150000,0.350000,0.140174,0.171839,0.000000,0.595242,0.597583,0.298860,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p350.txt
blogcatalog,0.050000,0.350000,0.161343,0.152056,0.000000,0.636330,0.607094,0.297338,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p350.txt
blogcatalog,0.150000,0.150000,0.159003,0.168542,0.000000,0.596547,0.604472,0.296944,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p150.txt
blogcatalog,0.100000,0.100000,0.160887,0.163693,0.000000,0.607750,0.604455,0.296910,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p100.txt
blogcatalog,0.000000,0.400000,0.152535,0.173002,0.000000,0.585362,0.592293,0.296710,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p400.txt
blogcatalog,0.000000,0.250000,0.160528,0.167378,0.000000,0.598279,0.592053,0.296648,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p250.txt
blogcatalog,0.150000,0.100000,0.157605,0.166602,0.000000,0.598995,0.595205,0.296320,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p100.txt
blogcatalog,0.100000,0.250000,0.158564,0.154965,0.000000,0.624015,0.616137,0.295680,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p250.txt
blogcatalog,0.100000,0.150000,0.152935,0.149535,0.000000,0.611951,0.604792,0.288260,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p150.txt
blogcatalog,0.050000,0.400000,0.151435,0.152056,0.000000,0.604770,0.610068,0.287870,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p400.txt
blogcatalog,0.050000,0.100000,0.156102,0.154771,0.000000,0.597488,0.596021,0.287586,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p100.txt
blogcatalog,0.100000,0.350000,0.155942,0.152056,0.000000,0.603762,0.589070,0.287568,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p350.txt
